,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
1417,346418409,1423.01,,3,4,3,3,2,4,4,16.8,182.4,5,2,4,PC,PC,10.9243,0.006,,1,spoc,22:58:26.32,39:39:31.36,-79.05,0.044,-38.029,0.045,2458740.961792,0.00349,2.755653,0.00084,3.396728,0.232303,3.103621,0.166421,2854.458984,153.268036,6.414552,7.742217,207.238632,967.692627,15.16427,112.383,0.459,4993.0,127.120003,4.66918,0.088726,0.696945,0.04299,,,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,some odd-even
1418,418959198,1424.01,,2,4,2,2,4,4,4,7.3,81.8,1,3,6,PC,PC,10.5152,0.006,,1,spoc,22:59:37.74,36:31:03.6,3.639,0.041,5.359,0.051,2458740.530518,0.005486,4.897647,0.002144,2.769361,0.438637,1.359637,0.349129,1251.488647,321.508423,4.012561,3.342689,95.044647,796.345764,9.00356,86.8203,0.2944,4528.990234,104.619003,4.48318,0.085912,0.799965,0.052922,-0.0636122,0.0225416,16,2019-11-06,2019-12-17,2021-06-01 12:02:45,Check nearby stars; potential L1 candidate
1419,350132371,1425.01,,3,5,5,3,3,4,4,206.3,472.0,11,3,1,PC,APC,9.25755,0.006,,1,spoc,21:56:21.93,68:59:52.92,39.456,0.287,-35.754,0.28,2458739.132481,9.4e-05,1.031834,1e-06,1.753283,0.011096,6.379943,0.034068,5858.913516,31.377464,18.637883,2.1864,6047.829847,2249.15632,194.26457,153.904,3.6525,5810.6,66.9,4.13,0.08,1.49433,0.075188,,,"16,17,18,24",2019-11-12,2020-10-07,2021-06-01 12:02:45,Stellar modulation is synchronized with transit signal. Could be EB at 2xP
1420,128501004,1426.01,,5,5,5,5,5,5,5,139.7,59.1,2,0,0,PC,FP,9.76952,0.006,,1,qlp,22:36:08.02,37:50:27.75,-65.606,0.084,57.654,0.139,2458739.001221,0.00029,0.78999,2e-05,1.153,0.029,6.261001,0.302963,5750.0,279.0,1.99,0.37,5497.379883,2398.0,54.0,129.284,1.5525,5558.0,103.5,4.43,0.08,1.1,0.04,,,16,2019-11-12,2019-12-17,2021-06-01 12:02:45,v-shaped
1421,2041563029,1427.01,,5,5,5,5,5,5,5,53.5,418.6,2,0,0,PC,FP,10.0526,0.006,,1,qlp,23:06:04.19,43:53:55.08,-2.799,2.2,-37.636,2.02,2458747.009766,0.0003,12.80758,0.00023,3.596,0.083,29.843664,0.007576,27112.699219,6.97744,11.4222,0.505247,28.4034,643.0,123.0,72.6157,7.92175,5094.399902,106.099998,,,0.63,0.03,,,16,2019-11-12,2019-12-17,2021-06-01 12:02:45,could be a multi-planet system or an EB
1422,377304435,1428.01,,5,5,5,5,5,5,5,12.3,55.2,0,0,0,PC,FP,10.8475,0.008,,1,qlp,19:08:12.04,55:18:13.29,-4.773,0.046,4.565,0.046,2458691.56061,0.00632,11.35626,0.00118,6.047,0.638,2.38037,0.063589,2190.0,58.5655,12.9372,1.89571,1493.65,1731.0,21.0,504.976,6.2375,6314.0,134.8,3.87,0.09,2.14,0.1,,,"14,15,16,19",2019-11-12,2020-05-20,2021-06-01 12:02:45,Possible multi
1423,138968089,1429.01,,5,5,5,5,5,5,5,14.7,48.6,1,0,0,PC,FP,11.6459,0.006,,1,spoc,19:40:24.26,40:59:12.2,-2.194,0.041,6.889,0.04,2458711.558105,0.002354,0.641256,0.000109,1.116108,0.698521,1.118379,0.170167,1029.53479,156.717468,4.841202,7.962996,10373.519531,2573.957031,7.270171,435.255,4.5665,5854.649902,147.438995,4.1262,0.086158,1.47292,0.092588,0.102,0.014,15,2019-11-14,2019-12-17,2021-07-22 00:00:00,KOI-272; Kepler PC
1424,293954617,1430.01,,2,4,2,2,4,4,4,7.5,98.4,4,24,3,PC,PC,8.3879,0.006,,1,spoc,20:02:27.71,53:22:38.79,164.816,0.05,145.473,0.047,2458713.081299,0.002105,7.434007,0.001097,2.758782,0.247119,0.808891,0.055067,744.738586,50.717613,2.229178,0.605292,72.54644,744.344116,13.492878,41.1706,0.0414,5064.0,119.117996,4.57887,0.084711,0.78399,0.046266,,,15,2019-11-14,2019-12-17,2021-08-06 00:00:00,
1425,375506058,1431.01,,3,4,4,3,2,4,4,211.8,322.1,12,7,1,PC,PC,7.79824,0.006,,1,spoc,21:04:48.89,55:35:16.88,11.737,0.078,23.869,0.064,2458712.675293,0.00031,2.65044,2e-05,2.519451,0.123,6.185012,0.035521,5680.412109,32.715462,16.58602,0.89104,5400.939453,2186.4375,276.019196,148.925,1.027,7400.0,189.5,4.11,0.08,1.93656,0.1,,,"15,16",2019-11-14,2019-12-17,2021-06-01 12:02:45,
1426,256783784,1432.01,,1,4,1,1,2,4,4,4.3,51.1,1,4,3,PC,PC,9.4653,0.006,,1,qlp,21:57:36.43,36:19:17.05,42.513,0.044,-43.798,0.071,2458715.30418,0.00744,6.11219,0.00173,2.186,0.387,0.597319,0.002006,550.0,1.84755,2.17923,0.177318,111.593,905.0,9.0,95.1757,0.39625,5587.0,126.4,4.51,0.08,0.91,0.05,,,"15,16",2019-11-14,2020-05-20,2021-06-01 12:02:45,TOI 1432 TFOP work in progress
