id_starname,id_planet,disposition,orbper,orbper_err1,orbper_err2,rprstar,rprstar_err1,rprstar_err2,prad,prad_err1,prad_err2,sma,sma_err1,sma_err2,insol,insol_err1,insol_err2
tic153951307,toi1238.02,PC,0.7645855,1.14e-05,-1.14e-05,0.01848835277829477,0.027398037266252572,-0.027398037266252572,1.2311608259366296,1.8247466198757676,-1.8247176637267226,0.013636003548153022,0.00015204855363000147,-9.13815517123537e-05,413.3787583120451,23.403510975461074,-17.892119316816103
tic154716798,toi1239.01,CP,12.6397081,2.72e-05,-2.72e-05,0.056215629493670885,0.00435198753163002,-0.00435198753163002,4.859906930215346,0.4136057242917503,-0.40263848835428184,0.10006067932119002,0.0009065255139800743,-0.0024278407239154668,37.96031148922768,1.2900513152987,-2.121741804722884
tic158170594,toi1240.01,KP,1.7208575,3.5e-06,-3.5e-06,0.10121106882565478,,,13.753136230812382,,,0.029515881766589362,0.0003111790839026233,-0.0005626942146187272,2128.185178860383,113.21970084208117,-126.5399573645222
tic159107668,toi1241.01,PC,4.7802597,1.65e-05,-1.65e-05,0.029809716724203118,0.028567239173643108,-0.028567239173643108,6.978668753388925,6.7006777901624215,-6.7005443686823805,0.06274532916204896,0.0007213922104729574,-0.0014183967855507385,1423.6814452582764,119.48333360620103,-129.98894630211078
tic198212955,toi1242.01,PC,0.3814851,1e-06,-1e-06,0.02842965664788732,0.005419832904052965,-0.005419832904052965,2.122634119868271,0.4081119776830423,-0.4075025787863863,0.009120800723653809,9.684212514470622e-05,-0.00017476823522311654,1678.217862560979,65.0688921129343,-96.69304788019467
tic219698776,toi1243.01,PC,4.6594992,1.96e-05,-1.96e-05,0.08393512587755102,0.03743823747053436,-0.03743823747053436,4.476779328777722,2.002173555544663,-2.0019381765969784,0.04240620059314166,0.0006029554092924367,-0.0003130148398687037,19.3705136193836,1.3340467454787597,-1.0209810443637015
tic219850915,toi1244.01,PC,6.4002616,2.41e-05,-2.41e-05,0.031637837333333335,0.0034769974648903405,-0.0034769974648903405,2.4161172020743837,0.2730352821141943,-0.27564724442503274,0.05977961062858076,0.001152344130935377,-0.0010925217750352976,54.34285183522186,2.839138325702986,-4.5925923211802075
tic229781583,toi1245.01,PC,4.8204563,1.84e-05,-1.84e-05,0.04918130488013649,0.0026218081841624255,-0.0026218081841624255,2.8763191938010007,0.1867329494776208,-0.18350898523685724,0.044840083285304595,0.0003093569642462641,-0.0005488624162243185,23.55121727515582,1.693855671354898,-1.3720055903398112
tic230127302,toi1246.01,CP,18.6556694,0.0002264,-0.0002264,0.054344508167742195,0.035200705785956146,-0.035200705785956146,4.999933451925147,3.2450177152863473,-3.241393876330405,0.13153697248651866,0.002008281358216615,-0.0029654947487527663,25.954431127866325,1.0946389677431572,-1.3731603967904271
tic230127302,toi1246.02,CP,4.3074861,1.3e-05,-1.3e-05,0.029835052591211133,0.014044396104429932,-0.014044396104429932,2.744955884600108,1.2969752084602995,-1.2942411234721514,0.049505852120146555,0.0007558457896787331,-0.001116106999057366,183.2289603612907,7.727757360392274,-9.694018706670663
tic230127302,toi1246.03,CP,5.904144,8.27e-05,-8.27e-05,0.028987409165055454,0.0034169623302555043,-0.0034169623302555043,2.666968966241062,0.33261794307476,-0.3224080227616916,0.06108650027945263,0.0009326570556709022,-0.0013771922543790685,120.34185696276556,5.075468179339841,-6.36687715521588
tic230127302,toi1246.04,CP,37.9219498,0.0003964,-0.0003964,0.03424718364922148,0.018843246171755017,-0.018843246171755017,3.150891321592772,1.7384062874279194,-1.7357192960111503,0.21107382957507734,0.0032226347753884256,-0.004758649305745966,10.07948675159356,0.4251065534526005,-0.5332712472881463
