name,hostname,IC,disposition,period,rade,rade_est,radj,radj_est,masse,masse_est,massj,massj_est,tran_depth_ppm,tran_dur_hr,semi_au,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
Kepler-248 b,Kepler-248,,Confirmed,6.308205,2.863542168674699,,0.25544533172834066,,,8.565909574213887,,0.026951230450913657,1446.5,3.008,0.06284152781391254,91.94042981707646,748.4,2011,2014.0,Transit,Kepler,0.832,0.787,5043.3,-0.44,13.911,13.357,293.0613138,43.5813577,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-248
24 Sex b,24 Sex,,Confirmed,452.8,,13.38919742115626,,1.1943976290059106,632.46,,1.989931724506812,,,,1.333,8.209934668262049,72.0691,2010,2010.0,Radial Velocity,Lick Observatory,1.54,4.9,5098.0,1.164,5.292,4.285,155.8684866,-0.9023998,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/24 Sex
24 Sex c,24 Sex,,Confirmed,883.0,,13.89269360993069,,1.239312543258759,273.32,,0.8599565805619357,,,,2.08,3.371889469941171,72.0691,2010,2010.0,Radial Velocity,Lick Observatory,1.54,4.9,5098.0,1.164,5.292,4.285,155.8684866,-0.9023998,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/24 Sex
rho CrB c,rho CrB,,Confirmed,102.54,,5.381293322204735,,0.480044007333161,25.0,,0.07865840229053268,,,,0.4123,9.85,17.4671,2016,2016.0,Radial Velocity,Multiple Observatories,0.89,1.36,5627.0,0.232,4.088,3.857,240.2600639,33.3001861,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/rho CrB
HAT-P-43 b,HAT-P-43,,Confirmed,3.332687,14.359,,1.2809099018733272,,210.395,,0.661973381996665,,14315.730681582716,3.2496,0.0443,565.1874991782894,528.825,2012,2012.0,Transit,HATNet,1.05,1.1,5645.0,0.045,12.146,11.764,128.9256885,10.2065866,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-43
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,,Confirmed,246.36,,11.909432390939646,,1.0623936120374349,9057.77,,28.498788660604728,,,,0.36,,20.77,2013,2013.0,Astrometry,Paranal Observatory,0.07,,,,13.547,12.062,125.7620668,-49.2003008,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/DENIS-P J082303.1-491201
HIP 63242 b,HIP 63242,,Confirmed,124.6,,12.51812053442398,,1.1166922867461178,2917.56,,9.17962432747066,,,,0.565,133.6297341378628,156.456,2013,2013.0,Radial Velocity,Multiple Observatories,1.54,10.28,4830.0,1.63,5.045,4.406,194.3824825,-65.6463263,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HIP 63242
GJ 504 b,GJ 504,,Confirmed,,,12.984136901423522,,1.158263773543579,1271.3,,3.9999370732781676,,,,43.5,0.0011350669700782316,17.5299,2013,2013.0,Imaging,Subaru Telescope,1.22,1.26,6234.0,0.332,4.392,4.033,199.192348,9.4249781,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/GJ 504
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,Confirmed,,11.209,,0.9999107939339874,,7786.5,,24.498945977409306,,,,52.0,7.046822181816743e-06,33.8281,2013,2013.0,Imaging,W. M. Keck Observatory,0.4,0.37,3530.0,-1.72,10.084,9.198,20.7128012,-24.6646128,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/2MASS J01225093-2439505
WD 0806-661 b,WD 0806-661,,Confirmed,,,12.629952913044956,,1.126668413295714,2383.6,,7.499606707988548,,,,2500.0,,19.2444,2011,2011.0,Imaging,Spitzer Space Telescope,0.62,,9552.0,,13.704,13.781,121.7275683,-66.3058835,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/WD 0806-661
RR Cae b,RR Cae,,Confirmed,4343.5,,12.956283911573731,,1.1557791178923935,1334.886,,4.2,,,,5.3,0.00027761840887264455,21.1916,2012,2012.0,Eclipse Timing Variations,Leoncito Astronomical Complex,0.44,0.19,3904.0,-2.108,10.72,9.852,65.2733756,-48.6542601,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/RR Cae
HATS-28 b,HATS-28,,Confirmed,3.1810781,13.384,,1.1939339875111508,,213.58176,,0.672,,17780.61179304154,2.3544,0.04131,408.2156119773899,535.383,2016,2016.0,Transit,HATSouth,0.93,0.92,5498.0,-0.157,12.522,12.086,284.3997616,-49.1385126,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-28
2MASS J19383260+4603591 b,2MASS J19383260+4603591,,Confirmed,416.0,,13.416470080590862,,1.19683051566377,603.877,,1.9,,,,0.92,1.739499648431851,396.332,2015,2015.0,Eclipse Timing Variations,Kepler,0.48,0.34,10868.0,0.168,12.757,12.955,294.6359173,46.0664076,False,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/2MASS J19383260+4603591
HATS-27 b,HATS-27,,Confirmed,4.637038,16.814,,1.4999107939339873,,168.4499,,0.53,,7845.020601722132,4.8312,0.0611,1250.0217783470223,816.988,2016,2016.0,Transit,HATSouth,1.42,1.74,6438.0,0.669,11.831,11.55,193.5524603,-46.5877159,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-27
HATS-15 b,HATS-15,,Confirmed,1.74748753,12.386,,1.1049063336306868,,689.6911,,2.17,,15227.794083711538,2.26968,0.02712,850.0033348665686,1139.55,2016,2016.0,Transit,HATSouth,0.87,0.92,5311.0,-0.204,13.261,12.724,311.0920041,-19.4375266,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-15
GJ 3341 b,GJ 3341,,Confirmed,14.207,,2.4559039523678967,,0.21908153009526285,6.6,,0.020765818204700626,,,,0.089,3.6578002622160373,23.619,2015,2015.0,Radial Velocity,La Silla Observatory,0.47,0.44,3526.0,-1.538,8.592,7.733,78.9471415,-31.2948458,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/GJ 3341
GJ 3512 b,GJ 3512,,Confirmed,203.59,,14.276372179741426,,1.273538999084873,147.15529,,0.463,,,,0.338,0.013745691715394706,9.48637,2019,2019.0,Radial Velocity,Calar Alto Observatory,0.12,0.14,3081.0,-2.804,9.615,8.668,130.3316616,59.4918364,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/GJ 3512
GJ 581 b,GJ 581,,Confirmed,5.3686,,4.106851734238918,,0.36635608690802124,15.8,,0.04971211024761665,,,,0.04061,7.9019453364042445,6.2981,2005,2005.0,Radial Velocity,La Silla Observatory,0.31,0.33,3396.0,-1.885,6.706,5.837,229.8564725,-7.7226935,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/GJ 581
55 Cnc f,55 Cnc,,Confirmed,259.88,,7.588767699154265,,0.6769641123241984,44.812,,0.14099361293773402,,,,0.7708,1.0693419096647234,12.5855,2007,2007.0,Radial Velocity,Multiple Observatories,0.91,0.94,5172.0,-0.197,4.768,4.015,133.1468373,28.3298154,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/55 Cnc
TOI-674 b,TOI-674,,Confirmed,1.977143,5.25,,0.4683318465655664,,23.6,,0.07425353176226285,,14456.27,1.055315,0.025,38.4,46.0851,2019,2021.0,Transit,TESS,0.42,0.42,3514.0,-1.614,10.359,9.469,164.5865592,-36.8581092,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-674
TOI-1685 b,TOI-1685,,Confirmed,0.6691403,1.7,,0.15165031222123102,,3.78,,0.01189315042632854,,998.33,0.912603,0.011557,217.0,37.6153,2020,2021.0,Transit,TESS,0.49,0.49,3434.0,-1.519,9.616,8.758,68.5939529,43.0370395,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1685
TOI-1260 b,TOI-1260,,Confirmed,3.12748,2.34,,0.20874219446922387,,8.6,,0.02705849038794324,,1216.52,1.963,0.0366,91.0,73.5977,2019,2021.0,Transit,TESS,0.66,0.65,4227.0,-0.857,9.698,8.95,157.1440712,65.8541986,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1260
